scheme,pdr,LM_dB,LM_ADR_dB,pdr_at_LM,mean_sf,mean_tp_dbm,mean_energy_mJ,mean_toa_ms,energy_improvement_pct,toa_improvement_pct,paper_energy_pct,paper_toa_pct
ANN,90,2.0,8.0,92.13631679193668,8.040856188590267,14.654511252067438,28.18854489564575,85.26747491272467,19.952941275456823,9.085527030182915,,
SVR,90,3.0,8.0,97.64100295144415,8.085381448527786,15.35369958483373,30.263456430213065,88.85193212218009,14.060811473418072,5.263682435698865,,
RF,90,3.0,8.0,97.97499635790712,8.092012755418624,15.359734847575156,30.741460206683104,89.48196398914388,12.703423339078403,4.591925529588652,,
ADR,95,9.0,9.0,98.20485288642605,8.266439328128287,17.114973461036463,36.25177462481108,96.56326547349904,0.0,0.0,,
Friis,95,3.0,9.0,98.08237065174578,8.12733296282907,17.513890163966092,35.61296544625252,93.46040038201505,1.762145950563627,3.213297599526124,,
SPLMSF,95,7.0,9.0,97.3204987778755,8.378265068822067,17.335936378571727,38.71153708870359,103.19227215876286,-6.785219452978224,-6.864936322066593,,
SPLMSFT,95,6.0,9.0,96.9989154656753,8.272417756147043,16.980035251197453,36.777320141567714,98.19359151365379,-1.4497097650964215,-1.6883501527836908,,
MLR,95,5.0,9.0,96.75395099631474,8.202743170401385,16.459293858828524,34.97312241686174,95.09142397738124,3.527143763809604,1.5242250651949374,,
ANN,95,3.0,9.0,97.19046257277442,8.095444416266936,15.32111299480056,31.009633337741683,89.73908284007706,14.460371502700507,7.06705867905308,,
SVR,95,3.0,9.0,97.64100295144415,8.085381448527786,15.35369958483373,30.263456430213065,88.85193212218009,16.518689792635833,7.985783531145451,,
RF,95,3.0,9.0,97.97499635790712,8.092012755418624,15.359734847575156,30.741460206683104,89.48196398914388,15.200123235778534,7.333328517456327,,
ADR,99,11.0,11.0,99.02715652366281,8.43231912287612,17.965688325831984,39.14215903794728,103.8077948773289,0.0,0.0,,
Friis,99,5.0,11.0,99.6028769835917,8.253559808560807,18.45810280677921,37.65309615407847,96.83768369367573,3.8042430986630147,6.714439114991175,,
SPLMSF,99,12.0,11.0,99.88345302779321,8.98102874285745,18.86239369786582,52.342320665859965,136.2788504583641,-33.7236421095614,-31.27997817447784,,
SPLMSFT,99,9.0,11.0,99.62014320169641,8.56978519745539,18.13519326751537,42.47030619071528,112.17817839240718,-8.502717362988195,-8.063347771686779,,
MLR,99,7.0,11.0,99.34010672681066,8.37555643085689,17.348677360753914,38.46622342123097,102.12766339507803,1.726873614868827,1.6185022369816255,,
ANN,99,4.0,11.0,99.21168922965688,8.14286716343015,15.95430395639743,33.33841738073507,92.86413018728454,14.827341669082783,10.54223789550355,43.5,32.7
SVR,99,4.0,11.0,99.32607792460058,8.130003830942142,16.01018307668496,32.70856817516035,91.78919760647051,16.436474177496784,11.577740655276346,40.6,29.9
RF,99,4.0,11.0,99.35899165286268,8.136538015356143,16.00552563788089,33.09104829513186,92.38797899996223,15.459317757482484,11.000923284095977,38.7,27.5
