figure,scheme,pdr,ours,paper,LM,diff
fig11,MLR,,49.88210410450378,48.45173041894351,0.0,1.4303736855602693
fig11,MLR,,64.83842596839203,64.60230722525803,1.0,0.23611874313399994
fig11,MLR,,77.65481592592792,78.91115158874723,2.0,-1.2563356628193105
fig11,MLR,,87.13235095746576,89.0406800242866,3.0,-1.9083290668208406
fig11,MLR,,93.27750589479477,94.84922080550498,4.0,-1.571714910710213
fig11,MLR,,96.75395099631474,97.39931188018625,5.0,-0.6453608838715041
fig11,MLR,,98.51834265888968,98.3201781015989,6.0,0.19816455729078086
fig11,MLR,,99.34010672681066,99.31188018619716,7.0,0.028226540613502493
fig11,MLR,,99.96654670242214,100.0,14.0,-0.033453297577864305
fig11,Friis,,84.13558297766723,79.61951022060313,0.0,4.516072757064094
fig11,Friis,,90.07947856021323,86.13640963367742,1.0,3.9430689265358154
fig11,Friis,,96.21438168054259,91.9449504148958,2.0,4.269431265646787
fig11,Friis,,98.08237065174578,78.27362882007692,3.0,19.808741831668854
fig11,Friis,,99.32230093939017,85.42805100182152,4.0,13.89424993756866
fig11,Friis,,99.6028769835917,90.24488969844164,5.0,9.35798728515006
fig11,Friis,,99.82248169511097,93.07832422586525,6.0,6.744157469245721
fig11,Friis,,99.87374078010932,94.7783849423194,7.0,5.09535583778991
fig11,Friis,,99.8953235527402,96.97429670107267,8.0,2.92102685166752
fig11,Friis,,99.91744589468686,100.0,9.0,-0.082554105313136
fig11,Friis,,99.93525168210734,100.0,10.0,-0.06474831789266489
fig11,Friis,,99.94820134568587,100.0,11.0,-0.051798654314126225
fig11,Friis,,99.96546756379058,100.0,12.0,-0.03453243620941748
fig11,Friis,,99.97787765805334,100.0,13.0,-0.02212234194665541
fig11,Friis,,99.98543162847415,100.0,14.0,-0.014568371525854218
fig11,Friis,,99.99028775231609,100.0,15.0,-0.009712247683907549
fig11,SPLMSF,,50.23120545180837,49.939283545840894,0.0,0.29192190596747736
fig11,SPLMSF,,61.06144075798697,59.50212507589555,1.0,1.5593156820914231
fig11,SPLMSF,,71.09850916998052,69.34831005869258,2.0,1.750199111287941
fig11,SPLMSF,,79.72568295986144,77.63610605140661,3.0,2.0895769084548306
fig11,SPLMSF,,86.59224207237783,84.50718478040885,4.0,2.0850572919689796
fig11,SPLMSF,,91.6399130214263,89.7490386561425,5.0,1.8908743652837927
fig11,SPLMSF,,95.12391209336707,93.21999595223642,6.0,1.9039161411306509
fig11,SPLMSF,,97.3204987778755,95.55757943736089,7.0,1.762919340514614
fig11,SPLMSF,,98.56366648141453,96.90346083788712,8.0,1.660205643527405
fig11,SPLMSF,,99.25863176012906,98.39101396478448,9.0,0.8676177953445858
fig11,SPLMSF,,99.63255329595917,97.96599878567096,10.0,1.6665545102882078
fig11,SPLMSF,,99.80575504632203,98.60352155434128,11.0,1.2022334919807491
fig11,SPLMSF,,99.88345302779321,99.94940295486748,12.0,-0.06594992707427139
fig11,SPLMSF,,99.92553943442344,100.0,13.0,-0.07446056557655822
fig11,SPLMSF,,99.94820134568587,100.0,14.0,-0.051798654314126225
fig11,SPLMSF,,99.96276971721171,100.0,15.0,-0.03723028278828622
fig11,SPLMSFT,,50.34937113196247,50.50597045132562,0.0,-0.15659931936314564
fig11,SPLMSFT,,62.61378167946346,62.26472374013356,1.0,0.3490579393298958
fig11,SPLMSFT,,73.82063636805101,73.3859542602712,2.0,0.43468210777980687
fig11,SPLMSFT,,82.91669589333793,82.80712406395467,3.0,0.10957182938325616
fig11,SPLMSFT,,89.70609659369892,89.25318761384338,4.0,0.45290897985553613
fig11,SPLMSFT,,94.2708530051313,94.1408621736491,5.0,0.12999083148220336
fig11,SPLMSFT,,96.9989154656753,96.33677393240238,6.0,0.6621415332729157
fig11,SPLMSFT,,98.47895409883832,98.03683464885654,7.0,0.44211944998177444
fig11,SPLMSFT,,99.25431520560288,98.95770087026922,8.0,0.29661433533365766
fig11,SPLMSFT,,99.62014320169641,99.45355191256834,9.0,0.1665912891280641
fig11,SPLMSFT,,99.77823701121764,98.17850637522773,10.0,1.5997306359899142
fig11,SPLMSFT,,99.85593499268883,98.17850637522773,11.0,1.6774286174611035
fig11,SPLMSFT,,99.90773364700296,98.17850637522773,12.0,1.7292272717752297
fig11,SPLMSFT,,99.9320142662127,98.95770087026922,13.0,0.9743133959434829
fig11,SPLMSFT,,99.95197833089627,98.95770087026922,14.0,0.9942774606270461
fig11,SPLMSFT,,99.96870497968521,98.10767051204212,15.0,1.861034467643094
fig11,ADR,,3.9555826539256365,4.816838696620027,0.0,-0.8612560426943907
fig11,ADR,,13.576643123458856,14.663023679417046,1.0,-1.0863805559581898
fig11,ADR,,31.378653558729425,32.30115361262897,2.0,-0.9225000538995474
fig11,ADR,,50.883544754576896,51.285164946367104,3.0,-0.401620191790208
fig11,ADR,,65.83393135599165,66.44403966808338,4.0,-0.6101083120917252
fig11,ADR,,76.78772803548209,76.64440396680834,5.0,0.14332406867374914
fig11,ADR,,85.63018998235609,83.09046751669705,6.0,2.5397224656590396
fig11,ADR,,92.60736080460576,88.82817243472984,7.0,3.779188369875925
fig11,ADR,,96.57103699826799,94.49504148957703,8.0,2.0759955086909514
fig11,ADR,,98.20485288642605,97.32847601700064,9.0,0.8763768694254139
