scheme,pdr,LM_dB,LM_ADR_dB,pdr_at_LM,mean_sf,mean_tp_dbm,mean_energy_mJ,mean_toa_ms,energy_improvement_pct,toa_improvement_pct,paper_energy_pct,paper_toa_pct,reading
ANN,90,1.8,6.55,90.42102593709701,8.225459038595393,14.299303738792766,40.04150373839237,134.1807438934243,6.557114489139796,8.250634609165653,,,grid
SVR,90,2.0,6.55,90.63361624751124,8.194482364176913,14.503591399080568,38.391412659396806,128.56584297453773,10.407850784770861,12.089960440072009,,,grid
RF,90,1.7,6.55,90.05735621826658,8.186825875586107,14.29474835048891,37.49768963982994,126.01488356633736,12.493488185939054,13.834241326054137,,,grid
ADR,95,7.45,7.45,95.05538679026401,8.4690260234281,16.084627436938774,53.164431328774114,167.62893481463095,0.0,0.0,,,grid
Friis,95,1.85,7.45,96.21384211122682,8.510297680391512,16.352273771769106,58.44521768118618,191.21285797996038,-9.932931135396057,-14.069124278221553,,,grid
SPLMSF,95,6.0,7.45,95.12391209336707,8.875569920089784,16.63937368221234,96.2384908983715,270.4654538155644,-81.02044636426773,-61.34771369552228,,,grid
SPLMSFT,95,5.25,7.45,95.1061063059466,8.770656062331048,16.294268212215744,86.58240309297254,254.54152393799268,-62.857762095748505,-51.848202232790086,,,grid
MLR,95,4.45,7.45,95.07589042426335,8.627524509936169,15.862499569903955,74.85848999936107,223.1028500698742,-40.80558773671205,-33.09328148901496,,,grid
ANN,95,2.45,7.45,95.02571047789654,8.324221806154327,14.699242782562202,47.20955868430912,153.74828366238066,11.200858347641248,8.280581850382767,,,grid
SVR,95,2.4,7.45,95.12121424678821,8.258291831460129,14.742486688829787,42.508402613595095,139.80708471777825,20.043529948211212,16.59728383266226,,,grid
RF,95,2.3,7.45,95.18056687152315,8.280791871927827,14.657715443637997,43.95618203362906,145.3819459675287,17.320319365781096,13.271568462630645,,,grid
ADR,99,10.85,10.85,99.00287590445306,9.148111777179455,17.71934005649453,121.75194925971654,329.314559716834,0.0,0.0,,,grid
Friis,99,3.55,10.85,99.07949474729271,8.733015706862782,17.48965021219854,89.10215434663323,260.9941886658069,26.816650666870256,20.746234575772597,,,grid
SPLMSF,99,8.6,10.85,99.01474642940006,9.25630082068493,17.802775530529804,126.01713913904209,329.3492979663632,-3.5031799533880217,-0.010548652801450356,,,grid
SPLMSFT,99,7.6,10.85,99.00773202829501,9.11269444729217,17.476624788327094,119.05536007209459,317.22383523711375,2.214822188899568,3.671481907789532,,,grid
MLR,99,6.5,10.85,99.01960255324201,8.947068250122753,16.914018616835033,103.1225769569055,285.32226373069017,15.301087511191772,13.35874612527649,,,grid
ANN,99,3.85,10.85,99.04819972697793,8.53168620806872,15.559690491543854,65.70187481627978,202.1000206978789,46.03628507324586,38.630098568475816,43.5,32.7,grid
SVR,99,3.75,10.85,99.04766015766215,8.474615961539499,15.541093728228027,59.744783577465476,188.68868469187888,50.929094818826904,42.70259873899119,40.6,29.9,grid
RF,99,3.7,10.85,99.00179676582152,8.496560245611953,15.504858557263592,61.87419272106166,193.0947224293569,49.180121470520334,41.36465675997071,38.7,27.5,grid
