kind,order,window,backoff,update_every,rmse,curve
closed,test_order,50,8.0,5.0,24.990916229908063,"[69.9, 68.1, 66.5, 68.3, 70.6, 74.9, 76.5, 78.4, 79.8, 80.6, 81.5, 85.2, 87.7, 90.8, 90.8, 94.1]"
closed,test_order,50,16.0,1.0,25.707547797660354,"[58.2, 57.2, 58.2, 60.8, 61.9, 66.2, 67.6, 68.9, 69.3, 70.1, 70.8, 71.7, 75.8, 80.5, 82.0, 81.7]"
closed,test_order,50,8.0,1.0,25.75180426684853,"[70.0, 69.4, 69.8, 70.9, 72.1, 76.7, 78.6, 80.7, 81.2, 81.9, 82.3, 82.9, 85.5, 87.9, 89.3, 89.0]"
closed,test_order,50,96.0,20.0,26.80669995201871,"[15.9, 15.1, 20.7, 26.6, 28.9, 32.6, 41.1, 49.1, 54.9, 64.5, 73.2, 80.9, 86.7, 89.2, 92.3, 94.0]"
closed,test_order,50,32.0,5.0,29.28183116905837,"[40.3, 36.8, 39.8, 45.3, 47.6, 49.4, 50.6, 51.3, 54.8, 55.2, 58.2, 63.2, 70.5, 76.4, 77.1, 83.9]"
closed,test_order,20,64.0,5.0,29.75192973915628,"[13.6, 15.2, 18.5, 21.4, 23.5, 27.4, 34.4, 43.6, 51.8, 63.1, 72.2, 76.9, 89.9, 93.6, 94.8, 95.7]"
closed,test_order,20,16.0,1.0,30.17255796282431,"[41.4, 41.3, 44.0, 46.0, 48.5, 50.5, 52.0, 52.7, 54.6, 54.9, 57.5, 62.5, 69.8, 74.7, 73.8, 75.7]"
closed,test_order,50,64.0,10.0,30.984214550013622,"[23.8, 21.1, 26.4, 32.7, 34.5, 35.8, 38.2, 40.6, 48.4, 50.3, 58.1, 71.3, 76.1, 85.9, 91.1, 93.1]"
closed,test_order,50,32.0,1.0,31.945892673755715,"[42.4, 41.6, 43.3, 47.2, 48.8, 52.2, 52.5, 52.9, 53.4, 54.1, 55.5, 57.7, 63.0, 69.4, 71.4, 70.6]"
closed,test_order,10,16.0,1.0,32.64222966740898,"[28.5, 29.8, 32.6, 34.7, 36.9, 39.0, 40.9, 43.9, 46.0, 48.9, 54.6, 63.2, 71.2, 73.6, 79.7, 85.7]"
closed,test_order,20,96.0,5.0,33.72718348483002,"[10.0, 11.7, 14.2, 15.9, 17.5, 21.4, 28.1, 37.4, 47.1, 58.8, 68.0, 76.0, 86.1, 92.2, 93.1, 94.5]"
closed,test_order,50,96.0,10.0,35.65238671991238,"[17.5, 17.2, 21.7, 25.9, 26.8, 28.6, 31.1, 34.4, 42.1, 44.2, 54.2, 65.8, 72.7, 79.8, 89.0, 91.2]"
closed,test_order,50,64.0,5.0,39.34054676140404,"[25.4, 24.4, 28.1, 32.9, 33.6, 35.0, 36.3, 36.0, 39.5, 39.2, 43.3, 50.4, 59.2, 65.5, 67.7, 75.5]"
closed,test_order,20,32.0,1.0,41.04219892339182,"[26.1, 26.9, 29.2, 32.1, 33.4, 34.9, 36.1, 36.3, 38.8, 38.7, 41.6, 47.9, 57.0, 63.2, 61.7, 63.5]"
closed,test_order,10,32.0,1.0,43.044086427474646,"[17.0, 18.1, 20.5, 22.3, 23.6, 25.2, 27.0, 29.4, 31.4, 34.4, 40.5, 50.6, 60.7, 64.3, 73.0, 81.1]"
closed,test_order,50,64.0,1.0,43.193187591127135,"[28.6, 28.9, 30.2, 32.9, 34.3, 36.1, 36.8, 37.5, 37.6, 38.3, 38.9, 41.8, 48.1, 57.0, 59.1, 57.6]"
closed,test_order,50,96.0,5.0,45.66899007625922,"[18.7, 19.9, 22.8, 26.0, 26.1, 27.6, 28.6, 28.4, 32.3, 31.3, 35.7, 39.6, 52.8, 57.6, 61.8, 71.0]"
closed,test_order,50,96.0,1.0,50.07625138097159,"[21.9, 22.9, 24.0, 26.0, 26.9, 28.3, 28.5, 29.3, 29.3, 29.9, 30.8, 33.0, 39.9, 48.8, 51.3, 48.9]"
closed,test_order,10,64.0,1.0,52.04965934109156,"[9.9, 10.8, 12.1, 13.1, 14.2, 15.3, 16.5, 18.6, 20.2, 22.5, 28.1, 38.6, 50.8, 54.8, 66.8, 76.6]"
closed,test_order,20,64.0,1.0,52.06051544730068,"[15.9, 17.1, 18.3, 20.1, 20.9, 22.0, 22.6, 23.2, 24.4, 25.1, 27.5, 33.4, 43.9, 52.2, 51.3, 54.4]"
closed,test_order,10,,20.0,52.98190960827075,"[0.2, 0.3, 1.2, 3.5, 3.7, 5.3, 8.1, 7.4, 25.7, 21.7, 17.4, 43.5, 93.3, 96.4, 97.6, 99.5]"
closed,test_order,10,96.0,1.0,56.444154974282455,"[7.2, 7.8, 8.6, 9.5, 10.0, 11.0, 11.9, 13.6, 14.9, 17.4, 21.8, 32.3, 45.3, 49.8, 62.1, 74.0]"
closed,test_order,10,,10.0,56.705408593275806,"[0.1, 0.2, 0.9, 2.2, 2.8, 4.1, 5.0, 5.5, 6.1, 6.7, 24.0, 44.5, 71.6, 86.3, 97.4, 99.4]"
closed,test_order,20,96.0,1.0,57.47957097153912,"[11.8, 12.7, 13.6, 14.7, 15.3, 15.7, 16.6, 17.0, 18.6, 18.3, 20.4, 26.1, 36.8, 46.8, 46.2, 50.8]"
closed,test_order,20,,20.0,59.465875672498875,"[0.2, 0.2, 0.8, 1.9, 2.7, 3.6, 4.7, 5.3, 5.7, 6.6, 9.1, 34.2, 61.6, 73.5, 94.9, 98.9]"
closed,test_order,10,,5.0,64.38062334402622,"[0.1, 0.1, 0.1, 0.3, 0.6, 1.3, 2.8, 3.6, 5.5, 6.7, 10.3, 19.7, 33.6, 55.7, 63.3, 66.7]"
closed,test_order,20,,10.0,67.62282888479871,"[0.1, 0.1, 0.2, 0.2, 0.5, 0.8, 2.6, 3.5, 5.4, 6.2, 6.7, 14.5, 29.0, 34.2, 45.9, 58.8]"
closed,test_order,50,,20.0,72.96651672497696,"[0.2, 0.2, 0.2, 0.3, 0.3, 0.6, 0.9, 1.5, 2.7, 3.4, 4.2, 7.4, 14.3, 27.3, 29.0, 29.0]"
open,expanding,50,,,73.79958010735852,"[0.0, 0.2, 0.7, 1.7, 2.6, 3.0, 3.4, 4.0, 4.9, 5.8, 6.6, 7.4, 8.5, 10.9, 17.6, 32.0]"
open,expanding,100,,,73.79958010735852,"[0.0, 0.2, 0.7, 1.7, 2.6, 3.0, 3.4, 4.0, 4.9, 5.8, 6.6, 7.4, 8.5, 10.9, 17.6, 32.0]"
open,expanding,20,,,73.79958010735852,"[0.0, 0.2, 0.7, 1.7, 2.6, 3.0, 3.4, 4.0, 4.9, 5.8, 6.6, 7.4, 8.5, 10.9, 17.6, 32.0]"
closed,test_order,20,,5.0,74.16112041315613,"[0.1, 0.1, 0.1, 0.1, 0.3, 0.2, 0.8, 1.1, 2.4, 2.7, 3.9, 5.5, 11.2, 24.5, 20.5, 30.1]"
closed,test_order,50,,10.0,76.58008986515095,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.3, 0.7, 0.6, 1.7, 0.9, 2.4, 3.3, 9.7, 14.7, 13.8, 19.1]"
closed,test_order,10,,1.0,78.16291760361933,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.2, 0.3, 0.4, 2.4, 5.3, 7.4, 11.9, 17.5]"
closed,test_order,50,,5.0,80.0564630859247,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.3, 0.2, 0.4, 1.0, 1.5, 2.1, 6.2, 6.9]"
open,per_device_max,20,,,80.07211717148097,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.2, 0.9, 4.4, 13.7]"
open,per_device_max,100,,,80.07211717148097,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.2, 0.9, 4.4, 13.7]"
open,per_device_max,50,,,80.07211717148097,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.2, 0.9, 4.4, 13.7]"
closed,test_order,20,,1.0,80.24871193343046,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.2, 0.2, 0.4, 1.9, 3.3, 3.8, 6.4]"
closed,test_order,50,,1.0,81.02626886582827,"[0.1, 0.1, 0.1, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.4, 0.9, 1.4, 2.1]"
