variant,scheme,pdr,LM,energy_pct,toa_pct,paper_energy_pct,paper_toa_pct,mean_sf,mean_tp_dbm
carry SF,RF,99,3.75,45.11854547578053,39.75440123869301,38.5551948051948,27.60115606936416,8.50222572342756,15.904032028729727
carry SF,MLR,99,4.75,31.313636961025374,26.733111094525395,20.0487012987013,17.991329479768787,8.662040759066114,16.472781010478364
carry SF,Friis,99,3.75,20.85287843446481,19.219587156972597,-10.308441558441558,-2.8179190751445087,8.73484484684325,17.958578918786813
carry SF,SPLMSF,99,8.75,-1.0866313389005609,-2.6526288360245864,-18.99350649350649,-7.225433526011561,9.27829906168896,18.203731648468718
carry SF,SPLMSFT,99,8.75,-1.085614883449897,-2.6411962067830395,-10.876623376623376,-3.8294797687861273,9.277667765589506,18.19848249355392
carry TP,ANN,80,1.25,-24.87725894532791,-114.0899089442373,3.814935064935065,-3.684971098265896,9.314029341779392,12.323954985242208
carry TP,SVR,80,1.5,-22.138203667714034,-112.5449497387878,-0.8928571428571428,-8.38150289017341,9.324351302790113,12.47679849735053
carry TP,RF,80,1.25,-20.417564253740245,-107.48772376821829,-4.058441558441558,-12.066473988439306,9.287552675454453,12.390589422554255
carry TP,MLR,80,1.75,-35.84000863990868,-132.08211111967626,-14.366883116883116,-16.690751445086704,9.399157192728763,12.585495137410629
carry TP,Friis,80,0.0,-41.92584448544807,-158.3218042916436,-30.03246753246753,-40.39017341040462,9.425558319349495,13.494999269146188
carry TP,SPLMSF,80,3.25,-95.10448859526,-203.8669961064973,-72.32142857142857,-70.15895953757226,9.824154359989857,12.90205505296133
carry TP,SPLMSFT,80,3.25,-93.90357496698685,-203.53417532528135,-50.56818181818182,-55.5635838150289,9.81619031688906,12.905561782954468
carry TP,ANN,85,1.5,-10.942849267036987,-88.02523041407494,14.853896103896105,16.257225433526013,9.340074352651714,12.496645825642215
carry TP,SVR,85,1.75,-9.366367635963956,-89.90795096158888,10.47077922077922,13.945086705202312,9.363599574819379,12.617184323015405
carry TP,RF,85,1.5,-8.42205376586519,-87.5054652294813,7.386363636363636,11.560693641618498,9.33875780352123,12.507280475613294
