tp_semantics,sf_max_en,adr_set_point,adr_sf_mode,sf_max_adr,energy_over,energy_rmse,toa_rmse,energy_rmse_ml_friis,toa_rmse_ml_friis,total
corrected,12,nStep3,fixed,12,delivered,105.12943466906366,70.50992385369985,77.97664278974175,53.9839271278778,89.50934977892386
corrected,12,continuous,fixed,12,all,109.72417147722915,68.74252166807688,82.37274405749064,53.135430228855185,91.55579744519297
corrected,12,continuous,fixed,10,all,109.72417147722915,68.74252166807688,82.37274405749064,53.135430228855185,91.55579744519297
corrected,12,continuous,up_only,10,delivered,111.74441643724255,68.18144764363156,82.89077326348114,52.03817728381124,92.5622072113699
corrected,12,continuous,fixed,12,delivered,113.96597776883863,70.50992385369985,84.70003676988202,53.9839271278778,94.76258082877959
corrected,12,continuous,fixed,10,delivered,113.96597776883863,70.50992385369985,84.70003676988202,53.9839271278778,94.76258082877959
text,12,nStep3,both,10,all,92.99186761488376,122.91404593649037,65.2394479209457,96.38841223173367,108.98474693961015
text,12,nStep3,up_only,10,all,96.35877748697713,126.23473602841557,67.87828656921738,99.17208438285428,112.2947518340651
text,12,nStep3,down_only,12,all,96.35877748697713,126.23473602841557,67.87828656921738,99.17208438285428,112.2947518340651
text,12,nStep3,up_only,12,all,96.35877748697713,126.23473602841557,67.87828656921738,99.17208438285428,112.2947518340651
text,12,nStep3,down_only,10,all,96.35877748697713,126.23473602841557,67.87828656921738,99.17208438285428,112.2947518340651
text,12,nStep3,both,10,delivered,96.3068061896913,127.85831692544292,66.60633967237388,99.2108721821189,113.18734497607444
text,12,continuous,both,10,all,105.25909632596037,124.6236890530131,74.25906065217306,97.79071011776828,115.34847470283233
corrected,12,nStep3,both,10,all,107.64337654690934,122.91404593649037,80.6887610893984,96.38841223173367,115.53129273685414
text,12,nStep3,down_only,10,delivered,99.59083460667658,131.09332634011983,69.21950807020089,101.95307595197724,116.41261647384181
text,12,nStep3,up_only,12,delivered,99.59083460667658,131.09332634011983,69.21950807020089,101.95307595197724,116.41261647384181
text,12,nStep3,down_only,12,delivered,99.59083460667658,131.09332634011983,69.21950807020089,101.95307595197724,116.41261647384181
text,12,nStep3,up_only,10,delivered,99.59083460667658,131.09332634011983,69.21950807020089,101.95307595197724,116.41261647384181
text,12,continuous,down_only,12,all,107.77605323122984,128.60292813183176,76.23950757168204,101.1238570769047,118.64735726973014
text,12,continuous,down_only,10,all,107.77605323122984,128.60292813183176,76.23950757168204,101.1238570769047,118.64735726973014
corrected,12,nStep3,up_only,12,all,111.07394491167584,126.23473602841557,83.4489688842954,99.17208438285428,118.89623589165
corrected,12,nStep3,up_only,10,all,111.07394491167584,126.23473602841557,83.4489688842954,99.17208438285428,118.89623589165
corrected,12,nStep3,down_only,12,all,111.07394491167584,126.23473602841557,83.4489688842954,99.17208438285428,118.89623589165
corrected,12,nStep3,down_only,10,all,111.07394491167584,126.23473602841557,83.4489688842954,99.17208438285428,118.89623589165
text,12,continuous,both,10,delivered,109.01455828386955,129.5362959657812,75.95199658383433,100.57327800682974,119.71596779536482
corrected,12,nStep3,both,10,delivered,112.25474412703814,127.85831692544292,83.22411542398437,99.2108721821189,120.30976017354911
text,12,continuous,down_only,12,delivered,111.4502376483277,133.40449511642436,77.89614409628273,103.85059399507813,122.91849899249668
text,12,continuous,down_only,10,delivered,111.4502376483277,133.40449511642436,77.89614409628273,103.85059399507813,122.91849899249668
corrected,12,continuous,both,10,all,121.4305245083631,124.6236890530131,91.37841905315774,97.79071011776828,123.0374661547414
corrected,12,nStep3,down_only,10,delivered,115.58066376506113,131.09332634011983,85.93289534527898,101.95307595197724,123.58064178359261
corrected,12,nStep3,up_only,10,delivered,115.58066376506113,131.09332634011983,85.93289534527898,101.95307595197724,123.58064178359261
corrected,12,nStep3,up_only,12,delivered,115.58066376506113,131.09332634011983,85.93289534527898,101.95307595197724,123.58064178359261
corrected,12,nStep3,down_only,12,delivered,115.58066376506113,131.09332634011983,85.93289534527898,101.95307595197724,123.58064178359261
corrected,12,continuous,down_only,12,all,123.9686017300215,128.60292813183176,93.41891061392555,101.1238570769047,126.30702145759311
corrected,12,continuous,down_only,10,all,123.9686017300215,128.60292813183176,93.41891061392555,101.1238570769047,126.30702145759311
corrected,12,continuous,both,10,delivered,126.41599538965308,129.5362959657812,94.14263946534464,100.57327800682974,127.98565517840515
corrected,12,continuous,down_only,12,delivered,128.86106975486115,133.40449511642436,96.132997751108,103.85059399507813,131.15245826067326
corrected,12,continuous,down_only,10,delivered,128.86106975486115,133.40449511642436,96.132997751108,103.85059399507813,131.15245826067326
