sf_max,min_tp,max_tp,line28,variant,adr_order,adr_window,mae_adr_lm,mae_friis_lm,mae_ml_lm,mae_energy_pp,mae_toa_pp,n_unreachable,score
12,2.0,20.0,repaired,corrected,per_device_max,200,,0.95,0.3333333333333333,,,11,28.28333333333333
11,2.0,20.0,repaired,corrected,per_device_max,50,,0.95,0.3333333333333333,,,11,28.28333333333333
11,2.0,20.0,repaired,corrected,per_device_max,20,,0.95,0.3333333333333333,,,11,28.28333333333333
11,2.0,20.0,repaired,corrected,expanding,200,,0.95,0.3333333333333333,,,11,28.28333333333333
11,2.0,20.0,repaired,corrected,expanding,100,,0.95,0.3333333333333333,,,11,28.28333333333333
11,5.0,20.0,repaired,corrected,expanding,200,,0.95,0.5,,,11,28.45
11,5.0,20.0,repaired,corrected,expanding,100,,0.95,0.5,,,11,28.45
11,5.0,20.0,repaired,corrected,expanding,50,,0.95,0.5,,,11,28.45
11,5.0,20.0,repaired,corrected,expanding,20,,0.95,0.5,,,11,28.45
11,5.0,20.0,repaired,corrected,per_device_max,200,,0.95,0.5,,,11,28.45
11,5.0,20.0,repaired,corrected,per_device_max,100,,0.95,0.5,,,11,28.45
11,5.0,20.0,repaired,corrected,per_device_max,20,,0.95,0.5,,,11,28.45
11,5.0,20.0,repaired,corrected,per_device_max,50,,0.95,0.5,,,11,28.45
12,5.0,20.0,repaired,corrected,expanding,50,,0.95,0.5,,,11,28.45
12,5.0,20.0,repaired,corrected,expanding,20,,0.95,0.5,,,11,28.45
12,5.0,20.0,repaired,corrected,expanding,100,,0.95,0.5,,,11,28.45
12,5.0,20.0,repaired,corrected,expanding,200,,0.95,0.5,,,11,28.45
12,5.0,20.0,repaired,corrected,per_device_max,50,,0.95,0.5,,,11,28.45
12,5.0,20.0,repaired,corrected,per_device_max,20,,0.95,0.5,,,11,28.45
12,5.0,20.0,repaired,corrected,per_device_max,200,,0.95,0.5,,,11,28.45
12,5.0,20.0,repaired,corrected,per_device_max,100,,0.95,0.5,,,11,28.45
12,7.0,20.0,repaired,corrected,per_device_max,200,,0.95,1.125,,,11,29.075
12,7.0,20.0,repaired,corrected,per_device_max,100,,0.95,1.125,,,11,29.075
12,7.0,20.0,repaired,corrected,per_device_max,50,,0.95,1.125,,,11,29.075
12,7.0,20.0,repaired,corrected,per_device_max,20,,0.95,1.125,,,11,29.075
12,7.0,20.0,repaired,corrected,expanding,200,,0.95,1.125,,,11,29.075
12,7.0,20.0,repaired,corrected,expanding,100,,0.95,1.125,,,11,29.075
12,7.0,20.0,repaired,corrected,expanding,50,,0.95,1.125,,,11,29.075
12,7.0,20.0,repaired,corrected,expanding,20,,0.95,1.125,,,11,29.075
11,7.0,20.0,repaired,corrected,expanding,20,,0.95,1.125,,,11,29.075
11,7.0,20.0,repaired,corrected,expanding,50,,0.95,1.125,,,11,29.075
11,7.0,20.0,repaired,corrected,expanding,100,,0.95,1.125,,,11,29.075
11,7.0,20.0,repaired,corrected,expanding,200,,0.95,1.125,,,11,29.075
11,7.0,20.0,repaired,corrected,per_device_max,20,,0.95,1.125,,,11,29.075
11,7.0,20.0,repaired,corrected,per_device_max,50,,0.95,1.125,,,11,29.075
11,7.0,20.0,repaired,corrected,per_device_max,100,,0.95,1.125,,,11,29.075
11,7.0,20.0,repaired,corrected,per_device_max,200,,0.95,1.125,,,11,29.075
